,Symbol,RalatedParty,EndDate,ISExit,Relationship,RegisterAddress,DirectHoldingRatio,IndirectHoldingRatio,Sub_Symbol,Name,is_foreign,is_subsidiary_listed,ind
1198,000028,上海国大皓海药房有限公司,2022-12-31,0,上市公司的子公司,上海,,51,,国药一致,0,0,商业
1199,000028,国药控股珠海有限公司,2022-12-31,0,上市公司的子公司,珠海,,100,,国药一致,0,0,商业
1200,000028,广东南方医药对外贸易有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,商业
1201,000028,国药控股国大山西医药有限公司,2022-12-31,0,上市公司的子公司,太原,,100,,国药一致,0,0,商业
1202,000028,佛山市南海医药有限公司,2022-12-31,0,上市公司的子公司,佛山,,100,,国药一致,0,0,商业
1203,000028,国药控股深圳物流有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,国药一致,0,0,服务业
1204,000028,国药控股深圳药材有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,国药一致,0,0,商业
1205,000028,国药控股深圳健民有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,国药一致,0,0,商业
1206,000028,国药控股深圳延风有限公司,2022-12-31,0,上市公司的子公司,深圳,51,,,国药一致,0,0,商业
1207,000028,国药控股广州有限公司,2022-12-31,0,上市公司的子公司,广州,100,,,国药一致,0,0,药品、医疗器械、货物运输、仓储、装卸搬运、玻璃仪器、化妆品、日用百货的销售、其他商务服务、其他专业咨询、自营和代理各类商品和技术的进出口、房屋租赁
1208,000028,国药控股广州医疗管理有限公司,2022-12-31,0,上市公司的子公司,广州,,51,,国药一致,0,0,商业
1209,000028,国控广医健康管理(湛江)有限公司,2022-12-31,0,上市公司的子公司,湛江,,60,,国药一致,0,0,商业
1210,000028,国药控股广州医疗科技有限公司,2022-12-31,0,上市公司的子公司,广州,,51,,国药一致,0,0,商业
1211,000028,国药控股广州医疗供应链服务有限公司,2022-12-31,0,上市公司的子公司,广州,,51,,国药一致,0,0,商业
1212,000028,国药控股河源有限公司,2022-12-31,0,上市公司的子公司,河源,,70,,国药一致,0,0,商业
1213,000028,国药控股佛山医用耗材供应链有限公司,2022-12-31,0,上市公司的子公司,佛山,,70,,国药一致,0,0,商业
1214,000028,国药控股广州花都有限公司,2022-12-31,0,上市公司的子公司,广州,,70,,国药一致,0,0,商业
1215,000028,国药控股梅州有限公司,2022-12-31,0,上市公司的子公司,梅州,,100,,国药一致,0,0,商业
1216,000028,上海国大瑞景药房有限公司,2022-12-31,0,上市公司的子公司,上海,,55,,国药一致,0,0,商业
1217,000028,国药控股惠州有限公司,2022-12-31,0,上市公司的子公司,惠州,,100,,国药一致,0,0,商业
1218,000028,国药控股(江门)有限公司,2022-12-31,0,上市公司的子公司,江门,,100,,国药一致,0,0,商业
1219,000028,国药控股韶关有限公司,2022-12-31,0,上市公司的子公司,韶关,,70,,国药一致,0,0,商业
1220,000028,国药控股中山有限公司,2022-12-31,0,上市公司的子公司,中山,,100,,国药一致,0,0,商业
1221,000028,国药控股汕头有限公司,2022-12-31,0,上市公司的子公司,汕头,,100,,国药一致,0,0,商业
1222,000028,国药控股广东恒兴有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,商业
1223,000028,广东惠信投资有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,服务业
1224,000028,国药控股佛山有限公司,2022-12-31,0,上市公司的子公司,佛山,,100,,国药一致,0,0,商业
1225,000028,国药控股广东物流有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,服务业
1226,000028,国药控股广东粤兴有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,商业
1227,000028,国药控股东莞有限公司,2022-12-31,0,上市公司的子公司,东莞,,100,,国药一致,0,0,商业
1228,000028,国药控股湛江有限公司,2022-12-31,0,上市公司的子公司,湛江,,100,,国药一致,0,0,商业
1229,000028,佛山市南海医药集团有限公司,2022-12-31,0,上市公司的子公司,佛山,,100,,国药一致,0,0,商业
1230,000028,佛山市南海新药特药有限公司,2022-12-31,0,上市公司的子公司,佛山,,100,,国药一致,0,0,商业
1231,000028,国药控股肇庆有限公司,2022-12-31,0,上市公司的子公司,肇庆,,100,,国药一致,0,0,商业
1232,000028,国药控股国大药房扬州大德生连锁有限公司,2022-12-31,0,上市公司的子公司,扬州,,93.68,,国药一致,0,0,商业
1233,000028,国药控股广东东方新特药有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,商业
1234,000028,国药控股国大药房新疆新特药业连锁有限责任公司,2022-12-31,0,上市公司的子公司,乌鲁木齐,,51,,国药一致,0,0,商业
1235,000028,国药控股国大药房山东有限公司,2022-12-31,0,上市公司的子公司,临沂,,55,,国药一致,0,0,商业
1236,000028,国药控股国大药房南京连锁有限公司,2022-12-31,0,上市公司的子公司,南京,,60,,国药一致,0,0,商业
1237,000028,辽宁葫芦岛国大药房有限公司,2022-12-31,0,上市公司的子公司,葫芦岛,,100,,国药一致,0,0,商业
1238,000028,辽宁国大药房连锁有限公司,2022-12-31,0,上市公司的子公司,大连,,100,,国药一致,0,0,商业
1239,000028,辽宁国大健康药店有限公司,2022-12-31,0,上市公司的子公司,沈阳,,100,,国药一致,0,0,商业
1240,000028,辽宁国大医药有限公司,2022-12-31,0,上市公司的子公司,沈阳,,100,,国药一致,0,0,商业
1241,000028,国大药房(朝阳)仁爱药房有限公司,2022-12-31,0,上市公司的子公司,朝阳,,51,,国药一致,0,0,商业
1242,000028,国药控股国大药房鞍山连锁有限公司,2022-12-31,0,上市公司的子公司,鞍山,,51,,国药一致,0,0,商业
1243,000028,国药控股国大药房沈阳连锁有限公司,2022-12-31,0,上市公司的子公司,沈阳,,51,,国药一致,0,0,商业
1244,000028,宁夏国大药房连锁有限公司,2022-12-31,0,上市公司的子公司,银川,,70,,国药一致,0,0,商业
1245,000028,广西国大医药咨询连锁有限公司,2022-12-31,1,上市公司的子公司,南宁,,100,,国药一致,0,0,商业
1246,000028,国药控股国大药房广西连锁有限公司,2022-12-31,0,上市公司的子公司,柳州,,100,,国药一致,0,0,商业
1247,000028,国药控股国致药房(河源)有限公司,2022-12-31,0,上市公司的子公司,河源,,70,,国药一致,0,0,商业
1248,000028,台山市国控国大群康大药房连锁有限公司,2022-12-31,0,上市公司的子公司,江门,,70,,国药一致,0,0,商业
